Result,Duration,Players voted,Players total,Time,Results
3,1:37,5,5,"March 9| 2024 - 14:15"," Oleg (3); Salvador (3); Alexandre (5); Joao(3); Andre(5)"
5,0:30,5,5,"March 9| 2024 - 14:19"," Salvador (3); Oleg (5); Alexandre (5); Joao(5); Andre(3)"
13,1:58,5,5,"March 9| 2024 - 14:24"," Alexandre (21); Salvador (13);  Joao(13);  Andre(13); Oleg (13)"
5,0:23,5,5,"March 9| 2024 - 14:27"," Salvador (3); Alexandre (5); Oleg (5); Andre(3); Joao(5)"
3,0:38,5,5,"March 9| 2024 - 14:29"," Joao(3); Salvador(3); Oleg(3); Andre(3); Alexandre(3)"
5,1:20,5,5,"March 9| 2024 - 14:34"," Andre(5); Joao(5); Oleg(8); Salvador(3); Aleaxndre(5)"
2,0:25,5,5,"March 9| 2024 - 14:37", Salvador (1); Andre(2); Alexandre(2); Joao(3); Oleg(3)"
13,2:05,5,5,"March 9| 2024 - 14:42", Oleg(13); Andre(13); Alexandre(13); Joao(13); Salvador(13)"
1,0:18,5,5,"March 9| 2024 - 14:44", Aleaxndre(1); Joao(2); Andre(1); Oleg(1); Salvador(2)"
